;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1ª RODADA  - Grupo A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/04/26;;14h00;;Local: Ginásio José Aparecido Franco - Atibaia Jardim;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 001;;;;ATIBAIA FUTSAL;;;;;;;;vs;MX7 FUTSAL;;;;;;;;;;;;;;;;;
11/04/26;;14h00;;Local: Ginásio Educamais;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 002;;;;AA ALIANÇA/JACAREÍ;;;;;;;;vs;AECT BOLA NO PÉ;;;;;;;;;;;;;;;;;
11/04/26;;14h30;;Local: Arena Guarulhense;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 003;;;;GUARULHENSE;;;;;;;;vs;ADC LAZULI;;;;;;;;;;;;;;;;;
12/04/26;;8h30;;Local: Ginásio do Colégio Santa Virginia;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 004;;;;A LIGA LESTE;;;;;;;;vs;CTC VILA EMA;;;;;;;;;;;;;;;;;
12/04/26;;14h00;;Local: Arena Mirante dos Ovines;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 005;;;;LIGA SOROCABANA/KGB FUTSAL;;;;;;;;vs;ITAPEVI/LAIFS/SEL;;;;;;;;;;;;;;;;;
12/04/26;;14h30;;Local: Ginásio CDC Unileste;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 005;;;;UNILESTE/PONTO DE ENCONTRO;;;;;;;;vs;AE CHUTE FUTSAL;;;;;;;;;;;;;;;;;
AA CAMILÓPOLIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1ª RODADA  - Grupo B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/04/26;;14h30;;Local: Ginásio Rubens Batazza - Bragança Paulista;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 007;;;;JUBA FUTSAL;;;;;;;;vs;AD OLIMPIK;;;;;;;;;;;;;;;;;
11/04/26;;14h30;;Local: Ginásio dos Securitários;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 008;;;;C13 ESPORTES;;;;;;;;vs;INST BONS DE BOLA/CONEXÃO 29;;;;;;;;;;;;;;;;;
11/04/26;;14h30;;Local: Arena Conde;;;;;;;;;;;;;;;;;;;;;;;;;;
